Advertiser_Name,party
"45COMMITTEE, INC.",R
ABDUL EL-SAYED FOR MICHIGAN,D
AFG Group Inc.,NA
AFTAB FOR OHIO,D
ALEX MOONEY FOR CONGRESS,R
"AMERICA FIRST ACTION, INC",R
AMERICA FIRST POLICIES INC.,R
AMERICAN ACTION NETWORK INC,R
"AMERICAN CIVIL LIBERTIES UNION, INC",D
AMERICAN CONSERVATIVE UNION,R
AMERICAN PATRIOTS PAC,R
AMERICAN SOLUTIONS ACTION PROJECT INC,R
AMERICANS FOR PROSPERITY,R
America's Liberty PAC,R
AMMAR CAMPA FOR CONGRESS,D
"ANDREW CUOMO 2018, INC.",D
ANDREW JANZ FOR CONGRESS,D
ANDREW LEARNED FOR CONGRESS,D
"ANDY BARR FOR CONGRESS, INC.",R
ANDY KIM FOR CONGRESS,D
ANGIE CRAIG FOR CONGRESS,D
ANITA FOR ARIZONA,D
ANN WAGNER FOR CONGRESS,R
ARIZONANS FOR LIFE,R
BALDERSON FOR CONGRESS,R
BETO FOR TEXAS,D
BILL NELSON FOR U S SENATE,D
BLACKBURN TENNESSEE VICTORY FUND,R
BOB CASEY FOR SENATE INC,D
BOB HUGIN FOR SENATE INC,R
BREDESEN FOR SENATE,D
BRIAN FITZPATRICK FOR CONGRESS,R
BRIGHT FOR CONGRESS,R
BRINDISI FOR CONGRESS,D
BUCK FOR COLORADO,R
BURCHETT FOR CONGRESS,R
CALIFORNIA REPUBLICAN PARTY FEDERAL ACCT.,R
CARE ACTION NOW INC,D
CARLA NELSON FOR CONGRESS,R
CARLOS CURBELO CONGRESS,R
CARPER FOR SENATE,D
CARYN FOR CONGRESS INC,R
CATHY FOR CONGRESS,D
CATHY MCMORRIS RODGERS FOR CONGRESS,R
CFG Action Montana,R
CFG ACTION WISCONSIN,R
CHRISSY HOULAHAN FOR CONGRESS,D
CHRISTIANS UNITED FOR ISRAEL ACTION FUND,NA
CINDY AXNE FOR CONGRESS,D
CINDY HYDE-SMITH FOR US SENATE,R
CISNEROS FOR CONGRESS,D
CIVIC,NA
"CLA, Inc.",NA
CLAUDIA TENNEY FOR CONGRESS,R
CLEARPATH ACTION INC,R
CLUB FOR GROWTH ACTION,R
COFFMAN FOR CONGRESS 2018,R
COMMITTEE TO ELECT DAN KOH,D
COMMITTEE TO ELECT JARED GOLDEN,D
COMMITTEE TO ELECT JEFF BALLINGER TO THE U S CONGRESS,D
COMMITTEE TO ELECT KIMBERLY BIZON,D
COMMITTEE TO ELECT MORGAN FOR MICHIGAN,D
COMMITTEE TO ELECT RICHARD OJEDA,D
COMMITTEE TO ELECT STEVE WATKINS,R
COMSTOCK FOR CONGRESS,R
CONGRESSIONAL LEADERSHIP FUND,R
"Conservation Law Foundation, Inc",NA
CONSERVATIVE TRIUMPH FUND,R
COTTON FOR SENATE,R
CRAMER FOR SENATE,R
CUMMINGS FOR CONGRESS CAMPAIGN COMMITTEE,D
DAN NEWHOUSE FOR CONGRESS,R
DANIEL WEBSTER FOR CONGRESS,R
"Data Targeting, Inc.",R
"DAVID TRONE FOR CONGRESS, INC",D
DCCC,D
DEAN PHILLIPS FOR CONGRESS,D
DEFENDARIZONA,R
DELBENE FOR CONGRESS,D
DELGADO FOR CONGRESS,R
DEMOCRATIC GOVERNORS ASSOCIATION,D
Democratic Party of Illinois,D
DENHAM FOR CONGRESS,R
DIANE BLACK FOR GOVERNOR,R
DIEHL FOR US SENATE,R
DIGITAL COMMUNICATIONS LLC,NA
DINO FOR CONGRESS,D
