Advertiser_Name,party
"45COMMITTEE, INC.",R
ABDUL EL-SAYED FOR MICHIGAN,D
AFTAB FOR OHIO,D
"AMERICA FIRST ACTION, INC.",R
AMERICAN ACTION NETWORK INC,R
"AMERICAN CIVIL LIBERTIES UNION, INC",D
AMERICAN SOLUTIONS ACTION PROJECT INC,R
AMERICANS FOR PROSPERITY,R
"ANDREW CUOMO 2018, INC.",D
ANDREW LEARNED FOR CONGRESS,D
"ANDY BARR FOR CONGRESS, INC.",R
ANDY KIM FOR CONGRESS,D
ANGIE CRAIG FOR CONGRESS,D
ANN WAGNER FOR CONGRESS,R
ARIZONANS FOR LIFE,R
BETO FOR TEXAS,D
BILL NELSON FOR U S SENATE,D
BLACKBURN TENNESSEE VICTORY FUND,R
BOB CASEY FOR SENATE INC,D
BOB HUGIN FOR SENATE INC,R
BREDESEN FOR SENATE,D
BRIAN FITZPATRICK FOR CONGRESS,R
BRIGHT FOR CONGRESS,R
BRINDISI FOR CONGRESS,D
BURCHETT FOR CONGRESS,R
CARLA NELSON FOR CONGRESS,R
CARLOS CURBELO CONGRESS,R
CARPER FOR SENATE,D
CARYN FOR CONGRESS INC,R
CATHY FOR CONGRESS,D
CATHY MCMORRIS RODGERS FOR CONGRESS,R
CFG ACTION WISCONSIN,R
CINDY HYDE-SMITH FOR US SENATE,R
CIVIC,NA
CLAUDIA TENNEY FOR CONGRESS,R
CLEARPATH ACTION INC,R
CLUB FOR GROWTH ACTION,R
COMMITTEE TO ELECT MORGAN FOR MICHIGAN,D
COMMITTEE TO ELECT STEVE WATKINS,R
COMSTOCK FOR CONGRESS,R
CONGRESSIONAL LEADERSHIP FUND,R
CONSERVATIVE TRIUMPH FUND,R
COTTON FOR SENATE,R
CRAMER FOR SENATE,R
CUMMINGS FOR CONGRESS CAMPAIGN COMMITTEE,D
DAN NEWHOUSE FOR CONGRESS,R
DANIEL WEBSTER FOR CONGRESS,R
"Data Targeting, Inc.",R
"DAVID TRONE FOR CONGRESS, INC",D
DCCC,D
DEAN PHILLIPS FOR CONGRESS,D
DEFENDARIZONA,R
DELBENE FOR CONGRESS,D
DEMOCRATIC GOVERNORS ASSOCIATION,D
DENHAM FOR CONGRESS,R
DIANE BLACK FOR GOVERNOR,R
DIEHL FOR US SENATE,R
DINO FOR CONGRESS,D
DNC SERVICES CORP./DEM. NAT'L COMMITTEE,D
DODSON FOR SENATE-WYOMING FIRST INC,R
"DONALD J. TRUMP FOR PRESIDENT, INC.",R
DONNA SHALALA FOR CONGRESS,D
DONNELLY FOR INDIANA,D
DONOVAN FOR CONGRESS,R
DOUG MAYS FOR CONGRESS,R
DR KIM SCHRIER FOR CONGRESS,D
DUFFY FOR WISCONSIN,R
Electric Symphony LLC,NA
ELISSA SLOTKIN FOR CONGRESS,D
ELIZABETH FOR MA INC,D
END CITIZENS UNITED,D
EQUALITY PAC,D
EVERYTOWN FOR GUN SAFETY ACTION FUND,D
EWERT FOR CONGRESS,D
FASO FOR CONGRESS,R
FINANCE COMMITTEE FOR THOMAS OH,R
FINKENAUER FOR CONGRESS,D
FLORIDA GROWN PAC,R
"FREEDOM PARTNERS ACTION FUND, INC.",R
FreedomWorks Inc,R
FRENCH HILL FOR ARKANSAS,R
FRIENDS OF CHRIS MURPHY,D
"FRIENDS OF DENVER RIGGLEMAN, INC.",R
FRIENDS OF GEORGE FLINN,R
FRIENDS OF HAGEDORN,R
FRIENDS OF JAHANA HAYES,D
FRIENDS OF JOHN BARRASSO,R
