State,District(s),Advertiser,Party,Office
Florida,All,RICK SCOTT FOR FLORIDA,Republican,Senate
Texas,All,BETO FOR TEXAS,Democratic,Senate
Tennessee,All,DIANE BLACK FOR GOVERNOR,Republican,Gov
Ohio,12,O'CONNOR FOR CONGRESS,Democratic,House
Florida,All,BILL NELSON FOR U S SENATE,Democratic,Senate
Florida,All,JEFF GREENE FOR GOVERNOR,Democratic,Gov
Tennessee,All,BREDESEN FOR SENATE,Democratic,Senate
Michigan,All,PENSLER FOR SENATE,Republican,Senate
Missouri,All,JOSH HAWLEY FOR SENATE,Republican,Senate
Michigan,All,STABENOW FOR US SENATE,Democratic,Senate
Michigan,All,JOHN JAMES FOR SENATE INC,Republican,Senate
Nevada,All,ROSEN FOR NEVADA,Democratic,Senate
Wisconsin,All,TAMMY BALDWIN FOR SENATE,Democratic,Senate
Arizona,All,SINEMA FOR ARIZONA,Democratic,Senate
Missouri,All,MCCASKILL FOR MISSOURI,Democratic,Senate
Michigan,11,LENA FOR CONGRESS,Republican,House
Wisconsin,1,RANDY BRYCE FOR CONGRESS,Democratic,House
Washington,5,LISA BROWN FOR CONGRESS,Democratic,House
Tennessee,All,MARSHA FOR SENATE,Republican,Senate
Alabama,2,MARTHA ROBY FOR CONGRESS,Republican,House
Delaware,All,CARPER FOR SENATE,Democratic,Senate
North Dakota,All,HEIDI FOR SENATE,Democratic,Senate
Massachusetts,All,JOHN KINGSTON FOR SENATE INC,Republican,Senate
Ohio,15,STIVERS FOR CONGRESS,Republican,House
Illinois,6,ROSKAM FOR CONGRESS COMMITTEE,Republican,House
Utah,All,ROMNEY FOR UTAH INC,Republican,Senate
Pennsylvania,8,BRIAN FITZPATRICK FOR CONGRESS,Republican,House
Massachusetts,All,ELIZABETH FOR MA INC,Democratic,Senate
Montana,All,MONTANANS FOR TESTER,Democratic,Senate
Nevada,All,HELLER FOR SENATE,Republican,Senate
Minnesota,All,TINA SMITH FOR MINNESOTA,Democratic,Senate
Maryland,6,"DAVID TRONE FOR CONGRESS, INC",Democratic,House
Florida,18,MAST FOR CONGRESS,Republican,House
Tennessee,6,JOHN ROSE FOR TENNESSEE,Republican,House
New Jersey,All,BOB HUGIN FOR SENATE INC,Republican,Senate
Wisconsin,1,CATHY FOR CONGRESS,Democratic,House
Texas,All,TED CRUZ FOR SENATE,Republican,Senate
Pennsylvania,All,BOB CASEY FOR SENATE INC,Democratic,Senate
Washington,5,CATHY MCMORRIS RODGERS FOR CONGRESS,Republican,House
Minnesota,3,DEAN PHILLIPS FOR CONGRESS,Democratic,House
Minnesota,All,HOUSLEY FOR SENATE COMMITTEE,Republican,Senate
Minnesota,8,PETE STAUBER FOR CONGRESS VOLUNTEER COMMITTEE,Republican,House
Montana,1,GREG FOR MONTANA,Republican,House
Arizona,1,TIFFANY SHEDD FOR CONGRESS COMMITTEE,Republican,House
Florida,27,DONNA SHALALA FOR CONGRESS,Democratic,House
Indiana,All,DONNELLY FOR INDIANA,Democratic,Senate
Minnesota,2,"JASON LEWIS FOR CONGRESS, INC.",Republican,House
Virginia,10,COMSTOCK FOR CONGRESS,Republican,House
Mississipi,All,WICKER FOR SENATE,Republican,Senate
New York,All,GILLIBRAND FOR SENATE,Democratic,Senate
Mississipi,All,CINDY HYDE-SMITH FOR US SENATE,Republican,Senate
Arizona,All,MCSALLY FOR SENATE INC,Republican,Senate
Florida,10,VAL DEMINGS FOR CONGRESS,Democratic,House
Washington,8,DINO FOR CONGRESS,Democratic,House
Missouri,2,ANN WAGNER FOR CONGRESS,Republican,House
Colorado,All,POLIS FOR COLORADO,Democratic,Gov
Florida,27,MATT HAGGMAN FOR CONGRESS,Democratic,House
California,48,HARLEY ROUDA FOR CONGRESS,Democratic,House
Wisconsin,1,"STEIL FOR WISCONSIN, INC.",Republican,House
New Mexico,All,MARTIN HEINRICH FOR SENATE,Democratic,Senate
Ohio,7,KEN HARBAUGH FOR CONGRESS,Democratic,House
Ohio,7,HERN FOR CONGRESS,Republican,House
New Jersey,5,JOSH GOTTHEIMER FOR CONGRESS,Democratic,House
Pennsylvania,1,SCOTT WALLACE FOR CONGRESS,Democratic,House
Wisconsin,3,KIND FOR CONGRESS COMMITTEE,Democratic,House
Pennsylvania,All,LOU BARLETTA FOR SENATE,Republican,Senate
New York,1,PERRY GERSHON FOR CONGRESS,Democratic,House
