Advertiser_ID,Advertiser_Name,Public_IDs_List,Total_Creatives,Total_Spend_USD
AR100996740080992256,FreedomWorks Inc,EIN ID 52-1349353,120,10900
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,FEC ID C00669507,3,700
AR102122639987834880,MCCONNELL SENATE COMMITTEE,FEC ID C00193342,1,0
AR104374439801520128,KAMALA HARRIS FOR SENATE,FEC ID C00571919,19,2300
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",FEC ID C00580100,241,6400
AR10924747533582336,HELLER FOR SENATE,FEC ID C00494229,273,40700
AR110003939335733248,"45COMMITTEE, INC.",EIN ID 47-3803487,1,0
AR111332149382086656,DELGADO FOR CONGRESS,FEC ID C00633859,6,500
AR112255739149418496,Matt Rosendale for Montana ,FEC ID C00548289,14,5900
AR113425619521372160,COMMITTEE TO ELECT RICHARD OJEDA,FEC ID C00639989,4,600
AR114507538963103744,KUSTOFF FOR CONGRESS,FEC ID C00614826,3,2200
AR116759338776788992,GINA ORTIZ JONES FOR CONGRESS,FEC ID C00652297,47,2500
AR119011138590474240,WICKER FOR SENATE,FEC ID C00443218,245,9500
AR120137038497316864,BOB CASEY FOR SENATE INC,FEC ID C00431056,29,56500
AR120181018962427904,CHRISSY HOULAHAN FOR CONGRESS,FEC ID C00637371,80,900
AR12050647440424960,ANGIE CRAIG FOR CONGRESS,FEC ID C00575209,26,7600
AR12094627905536000,AMMAR CAMPA FOR CONGRESS,FEC ID C00635888,3,14800
AR121262938404159488,GREAT AMERICA PAC,FEC ID C00608489,135,2500
AR127323446496460800,FRIENDS OF GEORGE FLINN,FEC ID C00608406,5,2900
AR128018337845215232,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,FEC ID C00010603,21,5500
AR13000625486823424,"Salem Web Network, LLC ",EIN ID 52-2141739,22,64400
AR130270137658900480,WALTERS FOR CONGRESS,FEC ID C00546853,42,1200
AR131396037565743104,MIKE BISHOP FOR CONGRESS,FEC ID C00561001,8,800
AR131699502775009280,ANITA FOR ARIZONA,FEC ID C00655134,3,700
AR13176547347267584,PENSLER FOR SENATE,FEC ID C00663278,87,56000
AR134254767797960704,JOSH HARDER FOR CONGRESS,FEC ID C00639146,12,21600
AR134773737286270976,"JASON LEWIS FOR CONGRESS, INC.",FEC ID C00589234,9,24200
AR13594361765822464,GEORGE SCOTT FOR CONGRESS,FEC ID C00640961,5,100
AR135943617658224640,BALDERSON FOR CONGRESS,FEC ID C00662650,7,700
AR137025537099956224,VERN BUCHANAN FOR CONGRESS,FEC ID C00412759,34,6300
AR138151437006798848,MEDIA MATTERS FOR AMERICA,EIN ID 47-0928008,8,900
AR139277336913641472,CATHY MCMORRIS RODGERS FOR CONGRESS,FEC ID C00390476,19,12100
AR140403236820484096,Need to Impeach,EIN ID 38-4081998,529,207300
AR140649527425105920,FRIENDS OF DAN FEEHAN,FEC ID C00649327,2,500
AR14302447254110208,DONNELLY FOR INDIANA,FEC ID C00393652,43,13100
AR14605912463376384,FLANDERS FOR US SENATE,FEC ID C00638791,25,1000
AR147589644819628032,JOE CUNNINGHAM FOR CONGRESS,FEC ID C00650507,20,1600
AR148284536168382464,KIRKPATRICK FOR CONGRESS,FEC ID C00651042,2,3400
AR149454416540336128,"YOUNG FOR IOWA, INC.",FEC ID C00545616,3,1100
AR150536335982067712,CISNEROS FOR CONGRESS,FEC ID C00650648,2,7200
AR150782626586689536,TINA SMITH FOR MINNESOTA,FEC ID C00663781,16,15500
AR15428347160952832,KEN HARBAUGH FOR CONGRESS,FEC ID C00646752,11,8500
AR156165835516280832,MCCASKILL FOR MISSOURI,FEC ID C00431304,191,241700
AR156209815981391872,AMERICAN PATRIOTS PAC,FEC ID C00668905,1,9800
AR156623232353435648,ILLINOIS REPUBLICAN PARTY,FEC ID C00005926,13,5700
AR157010260446412800,JESSICA MORSE FOR CONGRESS,FEC ID C00650408,3,500
AR157291735423123456,NRCC,FEC ID C00075820,94,230100
AR158417635329966080,PATIENTS FOR AFFORDABLE DRUGS ACTION,FEC ID 275129182,4,45200
AR16026481486462976,Galeotos for Governor Inc.,EIN ID 82-4377805,2,800
AR160915725748273152,DOUG MAYS FOR CONGRESS,FEC ID C00678516,5,0
AR161795335050493952,POLIS FOR COLORADO,EIN ID 82-1781651,183,48500
AR166505642863886336,Freedom Club,EIN ID 80-0684337,2,100
AR167424834584707072,AMERICAN ACTION NETWORK INC,FEC ID C90011230,51,202700
AR16800537672417280,MATT CALDWELL CAMPAIGN,EIN ID 82-1363402,2,5000
AR170283564816924672,FRIENDS OF SUSAN BROOKS,FEC ID C00500207,28,100
AR171972414677188608,WISCONSIN NEXT PAC,FEC ID C00656728,41,3300
AR173485342677008384,Mari Manoogian Friends Of,EIN ID 82-2499390,5,0
AR174224214490873856,"IMM, LLC",EIN ID 61-1709313,26,200
AR175306133932605440,RESTORATION PAC,FEC ID C00571588,152,84800
AR176432033839448064,NARAL PRO-CHOICE AMERICA,FEC ID C90004185,6,2100
