Advertiser_ID,Advertiser_Name,Election_Cycle,Week_Start_Date,Spend_USD
AR100996740080992256,FreedomWorks Inc,US-Federal-2018,2018-05-27,100
AR100996740080992256,FreedomWorks Inc,US-Federal-2018,2018-06-03,500
AR100996740080992256,FreedomWorks Inc,US-Federal-2018,2018-06-10,500
AR100996740080992256,FreedomWorks Inc,US-Federal-2018,2018-06-17,500
AR100996740080992256,FreedomWorks Inc,US-Federal-2018,2018-06-24,900
AR100996740080992256,FreedomWorks Inc,US-Federal-2018,2018-07-01,700
AR100996740080992256,FreedomWorks Inc,US-Federal-2018,2018-07-08,0
AR100996740080992256,FreedomWorks Inc,US-Federal-2018,2018-07-15,100
AR100996740080992256,FreedomWorks Inc,US-Federal-2018,2018-07-22,600
AR100996740080992256,FreedomWorks Inc,US-Federal-2018,2018-07-29,1100
AR100996740080992256,FreedomWorks Inc,US-Federal-2018,2018-08-05,900
AR100996740080992256,FreedomWorks Inc,US-Federal-2018,2018-08-12,1100
AR100996740080992256,FreedomWorks Inc,US-Federal-2018,2018-08-19,1300
AR100996740080992256,FreedomWorks Inc,US-Federal-2018,2018-08-26,1300
AR100996740080992256,FreedomWorks Inc,US-Federal-2018,2018-09-02,1200
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,US-Federal-2018,2018-05-27,0
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,US-Federal-2018,2018-06-03,0
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,US-Federal-2018,2018-06-10,0
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,US-Federal-2018,2018-06-17,0
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,US-Federal-2018,2018-06-24,0
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,US-Federal-2018,2018-07-01,0
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,US-Federal-2018,2018-07-08,0
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,US-Federal-2018,2018-07-15,0
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,US-Federal-2018,2018-07-22,0
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,US-Federal-2018,2018-07-29,0
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,US-Federal-2018,2018-08-05,100
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,US-Federal-2018,2018-08-12,100
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,US-Federal-2018,2018-08-19,100
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,US-Federal-2018,2018-08-26,100
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,US-Federal-2018,2018-09-02,100
AR102122639987834880,MCCONNELL SENATE COMMITTEE,US-Federal-2018,2018-07-15,0
AR104374439801520128,KAMALA HARRIS FOR SENATE,US-Federal-2018,2018-05-27,0
AR104374439801520128,KAMALA HARRIS FOR SENATE,US-Federal-2018,2018-06-03,0
AR104374439801520128,KAMALA HARRIS FOR SENATE,US-Federal-2018,2018-07-29,0
AR104374439801520128,KAMALA HARRIS FOR SENATE,US-Federal-2018,2018-08-05,0
AR104374439801520128,KAMALA HARRIS FOR SENATE,US-Federal-2018,2018-08-12,0
AR104374439801520128,KAMALA HARRIS FOR SENATE,US-Federal-2018,2018-08-19,0
AR104374439801520128,KAMALA HARRIS FOR SENATE,US-Federal-2018,2018-08-26,0
AR104374439801520128,KAMALA HARRIS FOR SENATE,US-Federal-2018,2018-09-02,2100
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",US-Federal-2018,2018-05-27,0
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",US-Federal-2018,2018-06-03,0
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",US-Federal-2018,2018-06-10,0
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",US-Federal-2018,2018-06-17,100
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",US-Federal-2018,2018-06-24,100
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",US-Federal-2018,2018-07-01,100
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",US-Federal-2018,2018-07-08,100
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",US-Federal-2018,2018-07-15,100
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",US-Federal-2018,2018-07-22,100
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",US-Federal-2018,2018-07-29,100
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",US-Federal-2018,2018-08-05,100
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",US-Federal-2018,2018-08-12,100
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",US-Federal-2018,2018-08-19,100
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",US-Federal-2018,2018-08-26,5500
AR10924747533582336,HELLER FOR SENATE,US-Federal-2018,2018-05-27,300
AR10924747533582336,HELLER FOR SENATE,US-Federal-2018,2018-06-03,800
AR10924747533582336,HELLER FOR SENATE,US-Federal-2018,2018-06-10,1200
AR10924747533582336,HELLER FOR SENATE,US-Federal-2018,2018-06-17,1500
AR10924747533582336,HELLER FOR SENATE,US-Federal-2018,2018-06-24,900
AR10924747533582336,HELLER FOR SENATE,US-Federal-2018,2018-07-01,500
AR10924747533582336,HELLER FOR SENATE,US-Federal-2018,2018-07-08,1100
AR10924747533582336,HELLER FOR SENATE,US-Federal-2018,2018-07-15,2700
AR10924747533582336,HELLER FOR SENATE,US-Federal-2018,2018-07-22,1200
AR10924747533582336,HELLER FOR SENATE,US-Federal-2018,2018-07-29,2100
AR10924747533582336,HELLER FOR SENATE,US-Federal-2018,2018-08-05,5100
AR10924747533582336,HELLER FOR SENATE,US-Federal-2018,2018-08-12,4600
AR10924747533582336,HELLER FOR SENATE,US-Federal-2018,2018-08-19,6500
AR10924747533582336,HELLER FOR SENATE,US-Federal-2018,2018-08-26,5200
AR10924747533582336,HELLER FOR SENATE,US-Federal-2018,2018-09-02,6100
AR110003939335733248,"45COMMITTEE, INC.",US-Federal-2018,2018-07-15,0
AR110003939335733248,"45COMMITTEE, INC.",US-Federal-2018,2018-07-22,0
AR111332149382086656,DELGADO FOR CONGRESS,US-Federal-2018,2018-08-19,100
