Advertiser_ID,Advertiser_Name,Election_Cycle,Week_Start_Date,Spend_USD
AR100996740080992256,FreedomWorks Inc,US-Federal-2018,2018-05-27,200
AR100996740080992256,FreedomWorks Inc,US-Federal-2018,2018-06-03,600
AR100996740080992256,FreedomWorks Inc,US-Federal-2018,2018-06-10,1000
AR100996740080992256,FreedomWorks Inc,US-Federal-2018,2018-06-17,1000
AR100996740080992256,FreedomWorks Inc,US-Federal-2018,2018-06-24,900
AR100996740080992256,FreedomWorks Inc,US-Federal-2018,2018-07-01,700
AR100996740080992256,FreedomWorks Inc,US-Federal-2018,2018-07-08,0
AR100996740080992256,FreedomWorks Inc,US-Federal-2018,2018-07-15,100
AR100996740080992256,FreedomWorks Inc,US-Federal-2018,2018-07-22,1100
AR100996740080992256,FreedomWorks Inc,US-Federal-2018,2018-07-29,1300
AR100996740080992256,FreedomWorks Inc,US-Federal-2018,2018-08-05,1100
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,US-Federal-2018,2018-06-03,0
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,US-Federal-2018,2018-06-10,0
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,US-Federal-2018,2018-06-17,0
AR102122639987834880,MCCONNELL SENATE COMMITTEE,US-Federal-2018,2018-07-15,0
AR104374439801520128,KAMALA HARRIS FOR SENATE,US-Federal-2018,2018-05-27,0
AR104374439801520128,KAMALA HARRIS FOR SENATE,US-Federal-2018,2018-06-03,0
AR104374439801520128,KAMALA HARRIS FOR SENATE,US-Federal-2018,2018-07-29,0
AR104374439801520128,KAMALA HARRIS FOR SENATE,US-Federal-2018,2018-08-05,0
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",US-Federal-2018,2018-05-27,0
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",US-Federal-2018,2018-06-03,0
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",US-Federal-2018,2018-06-10,0
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",US-Federal-2018,2018-06-17,100
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",US-Federal-2018,2018-06-24,100
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",US-Federal-2018,2018-07-01,100
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",US-Federal-2018,2018-07-08,100
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",US-Federal-2018,2018-07-15,100
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",US-Federal-2018,2018-07-22,100
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",US-Federal-2018,2018-07-29,100
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",US-Federal-2018,2018-08-05,100
AR10924747533582336,HELLER FOR SENATE,US-Federal-2018,2018-05-27,200
AR10924747533582336,HELLER FOR SENATE,US-Federal-2018,2018-06-03,600
AR10924747533582336,HELLER FOR SENATE,US-Federal-2018,2018-06-10,900
AR10924747533582336,HELLER FOR SENATE,US-Federal-2018,2018-06-17,1100
AR10924747533582336,HELLER FOR SENATE,US-Federal-2018,2018-06-24,500
AR10924747533582336,HELLER FOR SENATE,US-Federal-2018,2018-07-01,400
AR10924747533582336,HELLER FOR SENATE,US-Federal-2018,2018-07-08,1000
AR10924747533582336,HELLER FOR SENATE,US-Federal-2018,2018-07-15,2700
AR10924747533582336,HELLER FOR SENATE,US-Federal-2018,2018-07-22,1200
AR10924747533582336,HELLER FOR SENATE,US-Federal-2018,2018-07-29,2100
AR10924747533582336,HELLER FOR SENATE,US-Federal-2018,2018-08-05,5100
AR110003939335733248,"45COMMITTEE, INC.",US-Federal-2018,2018-07-15,0
AR110003939335733248,"45COMMITTEE, INC.",US-Federal-2018,2018-07-22,0
AR112255739149418496,Matt Rosendale for Montana ,US-Federal-2018,2018-06-10,0
AR112255739149418496,Matt Rosendale for Montana ,US-Federal-2018,2018-07-15,100
AR112255739149418496,Matt Rosendale for Montana ,US-Federal-2018,2018-07-22,200
AR112255739149418496,Matt Rosendale for Montana ,US-Federal-2018,2018-07-29,500
AR112255739149418496,Matt Rosendale for Montana ,US-Federal-2018,2018-08-05,700
AR114507538963103744,KUSTOFF FOR CONGRESS,US-Federal-2018,2018-07-08,0
AR114507538963103744,KUSTOFF FOR CONGRESS,US-Federal-2018,2018-07-15,100
AR114507538963103744,KUSTOFF FOR CONGRESS,US-Federal-2018,2018-07-22,200
AR114507538963103744,KUSTOFF FOR CONGRESS,US-Federal-2018,2018-07-29,1900
AR116759338776788992,GINA ORTIZ JONES FOR CONGRESS,US-Federal-2018,2018-06-17,300
AR116759338776788992,GINA ORTIZ JONES FOR CONGRESS,US-Federal-2018,2018-06-24,400
AR116759338776788992,GINA ORTIZ JONES FOR CONGRESS,US-Federal-2018,2018-07-01,200
AR116759338776788992,GINA ORTIZ JONES FOR CONGRESS,US-Federal-2018,2018-07-08,300
AR116759338776788992,GINA ORTIZ JONES FOR CONGRESS,US-Federal-2018,2018-07-15,500
AR119011138590474240,WICKER FOR SENATE,US-Federal-2018,2018-05-27,1000
AR119011138590474240,WICKER FOR SENATE,US-Federal-2018,2018-06-03,3300
AR119011138590474240,WICKER FOR SENATE,US-Federal-2018,2018-06-10,100
AR119011138590474240,WICKER FOR SENATE,US-Federal-2018,2018-06-17,100
AR119011138590474240,WICKER FOR SENATE,US-Federal-2018,2018-06-24,400
AR119011138590474240,WICKER FOR SENATE,US-Federal-2018,2018-07-01,500
AR119011138590474240,WICKER FOR SENATE,US-Federal-2018,2018-07-08,800
AR119011138590474240,WICKER FOR SENATE,US-Federal-2018,2018-07-15,600
AR119011138590474240,WICKER FOR SENATE,US-Federal-2018,2018-07-22,400
AR119011138590474240,WICKER FOR SENATE,US-Federal-2018,2018-07-29,600
AR119011138590474240,WICKER FOR SENATE,US-Federal-2018,2018-08-05,400
AR120137038497316864,BOB CASEY FOR SENATE INC,US-Federal-2018,2018-05-27,100
AR120137038497316864,BOB CASEY FOR SENATE INC,US-Federal-2018,2018-06-03,200
AR120137038497316864,BOB CASEY FOR SENATE INC,US-Federal-2018,2018-06-10,200
AR120137038497316864,BOB CASEY FOR SENATE INC,US-Federal-2018,2018-06-17,200
AR120137038497316864,BOB CASEY FOR SENATE INC,US-Federal-2018,2018-06-24,200
AR120137038497316864,BOB CASEY FOR SENATE INC,US-Federal-2018,2018-07-01,200
AR120137038497316864,BOB CASEY FOR SENATE INC,US-Federal-2018,2018-07-08,600
AR120137038497316864,BOB CASEY FOR SENATE INC,US-Federal-2018,2018-07-15,700
AR120137038497316864,BOB CASEY FOR SENATE INC,US-Federal-2018,2018-07-22,700
AR120137038497316864,BOB CASEY FOR SENATE INC,US-Federal-2018,2018-07-29,600
AR120137038497316864,BOB CASEY FOR SENATE INC,US-Federal-2018,2018-08-05,7300
AR12050647440424960,ANGIE CRAIG FOR CONGRESS,US-Federal-2018,2018-05-27,0
AR12050647440424960,ANGIE CRAIG FOR CONGRESS,US-Federal-2018,2018-06-03,100
AR12050647440424960,ANGIE CRAIG FOR CONGRESS,US-Federal-2018,2018-06-10,0
AR12050647440424960,ANGIE CRAIG FOR CONGRESS,US-Federal-2018,2018-06-17,100
AR12050647440424960,ANGIE CRAIG FOR CONGRESS,US-Federal-2018,2018-06-24,100
AR12050647440424960,ANGIE CRAIG FOR CONGRESS,US-Federal-2018,2018-07-01,100
AR12050647440424960,ANGIE CRAIG FOR CONGRESS,US-Federal-2018,2018-07-08,100
AR12050647440424960,ANGIE CRAIG FOR CONGRESS,US-Federal-2018,2018-07-15,2900
AR12050647440424960,ANGIE CRAIG FOR CONGRESS,US-Federal-2018,2018-07-22,400
AR12050647440424960,ANGIE CRAIG FOR CONGRESS,US-Federal-2018,2018-07-29,100
AR12050647440424960,ANGIE CRAIG FOR CONGRESS,US-Federal-2018,2018-08-05,200
AR121262938404159488,GREAT AMERICA PAC,US-Federal-2018,2018-05-27,100
AR121262938404159488,GREAT AMERICA PAC,US-Federal-2018,2018-06-03,300
AR121262938404159488,GREAT AMERICA PAC,US-Federal-2018,2018-06-10,500
AR121262938404159488,GREAT AMERICA PAC,US-Federal-2018,2018-06-17,200
AR121262938404159488,GREAT AMERICA PAC,US-Federal-2018,2018-06-24,0
AR121262938404159488,GREAT AMERICA PAC,US-Federal-2018,2018-07-08,300
AR121262938404159488,GREAT AMERICA PAC,US-Federal-2018,2018-07-15,800
AR121262938404159488,GREAT AMERICA PAC,US-Federal-2018,2018-07-22,400
AR121262938404159488,GREAT AMERICA PAC,US-Federal-2018,2018-07-29,800
AR121262938404159488,GREAT AMERICA PAC,US-Federal-2018,2018-08-05,300
AR127323446496460800,FRIENDS OF GEORGE FLINN,US-Federal-2018,2018-05-27,100
AR127323446496460800,FRIENDS OF GEORGE FLINN,US-Federal-2018,2018-06-03,100
AR127323446496460800,FRIENDS OF GEORGE FLINN,US-Federal-2018,2018-06-10,200
AR127323446496460800,FRIENDS OF GEORGE FLINN,US-Federal-2018,2018-06-17,100
AR127323446496460800,FRIENDS OF GEORGE FLINN,US-Federal-2018,2018-06-24,500
AR127323446496460800,FRIENDS OF GEORGE FLINN,US-Federal-2018,2018-07-01,1400
AR127323446496460800,FRIENDS OF GEORGE FLINN,US-Federal-2018,2018-07-08,500
AR128018337845215232,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,US-Federal-2018,2018-08-05,200
AR13000625486823424,"Salem Web Network, LLC ",US-Federal-2018,2018-05-27,2600
AR13000625486823424,"Salem Web Network, LLC ",US-Federal-2018,2018-06-03,5700
AR13000625486823424,"Salem Web Network, LLC ",US-Federal-2018,2018-06-10,6900
AR13000625486823424,"Salem Web Network, LLC ",US-Federal-2018,2018-06-17,7300
AR13000625486823424,"Salem Web Network, LLC ",US-Federal-2018,2018-06-24,4100
AR13000625486823424,"Salem Web Network, LLC ",US-Federal-2018,2018-07-01,5200
AR13000625486823424,"Salem Web Network, LLC ",US-Federal-2018,2018-07-08,2200
AR13000625486823424,"Salem Web Network, LLC ",US-Federal-2018,2018-07-22,4800
AR13000625486823424,"Salem Web Network, LLC ",US-Federal-2018,2018-07-29,5800
AR13000625486823424,"Salem Web Network, LLC ",US-Federal-2018,2018-08-05,6200
AR130270137658900480,WALTERS FOR CONGRESS,US-Federal-2018,2018-05-27,0
AR130270137658900480,WALTERS FOR CONGRESS,US-Federal-2018,2018-06-03,0
AR130270137658900480,WALTERS FOR CONGRESS,US-Federal-2018,2018-06-10,0
AR130270137658900480,WALTERS FOR CONGRESS,US-Federal-2018,2018-06-17,0
AR130270137658900480,WALTERS FOR CONGRESS,US-Federal-2018,2018-06-24,0
AR130270137658900480,WALTERS FOR CONGRESS,US-Federal-2018,2018-07-01,0
AR130270137658900480,WALTERS FOR CONGRESS,US-Federal-2018,2018-07-08,0
AR130270137658900480,WALTERS FOR CONGRESS,US-Federal-2018,2018-07-15,100
AR130270137658900480,WALTERS FOR CONGRESS,US-Federal-2018,2018-07-22,100
AR130270137658900480,WALTERS FOR CONGRESS,US-Federal-2018,2018-07-29,100
AR130270137658900480,WALTERS FOR CONGRESS,US-Federal-2018,2018-08-05,100
AR13176547347267584,PENSLER FOR SENATE,US-Federal-2018,2018-05-27,1700
AR13176547347267584,PENSLER FOR SENATE,US-Federal-2018,2018-06-03,8200
AR13176547347267584,PENSLER FOR SENATE,US-Federal-2018,2018-06-10,12800
AR13176547347267584,PENSLER FOR SENATE,US-Federal-2018,2018-06-17,12000
AR13176547347267584,PENSLER FOR SENATE,US-Federal-2018,2018-06-24,11300
AR13176547347267584,PENSLER FOR SENATE,US-Federal-2018,2018-07-01,9800
AR13176547347267584,PENSLER FOR SENATE,US-Federal-2018,2018-07-08,5900
AR13176547347267584,PENSLER FOR SENATE,US-Federal-2018,2018-07-15,7500
AR13176547347267584,PENSLER FOR SENATE,US-Federal-2018,2018-07-22,6300
AR13176547347267584,PENSLER FOR SENATE,US-Federal-2018,2018-07-29,6200
AR13176547347267584,PENSLER FOR SENATE,US-Federal-2018,2018-08-05,12200
AR134773737286270976,"JASON LEWIS FOR CONGRESS, INC.",US-Federal-2018,2018-05-27,0
AR134773737286270976,"JASON LEWIS FOR CONGRESS, INC.",US-Federal-2018,2018-06-03,100
AR134773737286270976,"JASON LEWIS FOR CONGRESS, INC.",US-Federal-2018,2018-06-10,200
AR134773737286270976,"JASON LEWIS FOR CONGRESS, INC.",US-Federal-2018,2018-06-17,400
AR134773737286270976,"JASON LEWIS FOR CONGRESS, INC.",US-Federal-2018,2018-06-24,300
AR134773737286270976,"JASON LEWIS FOR CONGRESS, INC.",US-Federal-2018,2018-07-01,300
AR134773737286270976,"JASON LEWIS FOR CONGRESS, INC.",US-Federal-2018,2018-07-08,700
