State,Congressional_District,Total_Spend_USD
US-AK,AK-AT LARGE,10300
US-AL,AL-1,3600
US-AL,AL-2,34400
US-AL,AL-3,3300
US-AL,AL-4,2300
US-AL,AL-5,3900
US-AL,AL-6,4100
US-AL,AL-7,3200
US-AR,AR-1,3100
US-AR,AR-2,25300
US-AR,AR-3,4200
US-AR,AR-4,3800
US-AZ,AZ-1,44800
US-AZ,AZ-2,33500
US-AZ,AZ-3,26500
US-AZ,AZ-4,26300
US-AZ,AZ-5,23400
US-AZ,AZ-6,36000
US-AZ,AZ-7,78700
US-AZ,AZ-8,23900
US-AZ,AZ-9,26300
US-CA,CA-1,4300
US-CA,CA-10,26100
US-CA,CA-11,14900
US-CA,CA-12,11700
US-CA,CA-13,9400
US-CA,CA-14,4300
US-CA,CA-15,6600
US-CA,CA-16,3000
US-CA,CA-17,9100
US-CA,CA-18,5600
US-CA,CA-19,4000
US-CA,CA-2,5300
US-CA,CA-20,4300
US-CA,CA-21,3000
US-CA,CA-22,3400
US-CA,CA-23,2800
US-CA,CA-24,4300
US-CA,CA-25,14000
US-CA,CA-26,5600
US-CA,CA-27,4900
US-CA,CA-28,8600
US-CA,CA-29,6800
US-CA,CA-3,3500
US-CA,CA-30,9600
US-CA,CA-31,3600
US-CA,CA-32,4100
US-CA,CA-33,5800
US-CA,CA-34,8800
US-CA,CA-35,6300
US-CA,CA-36,4300
US-CA,CA-37,5600
US-CA,CA-38,4100
US-CA,CA-39,15800
US-CA,CA-4,4900
US-CA,CA-40,3000
US-CA,CA-41,4300
US-CA,CA-42,4300
US-CA,CA-43,11300
US-CA,CA-44,3200
US-CA,CA-45,16800
US-CA,CA-46,8300
US-CA,CA-47,5900
US-CA,CA-48,9500
US-CA,CA-49,6500
US-CA,CA-5,4200
US-CA,CA-50,4100
US-CA,CA-51,4300
US-CA,CA-52,6300
US-CA,CA-53,4900
US-CA,CA-6,10000
US-CA,CA-7,3900
US-CA,CA-8,4700
US-CA,CA-9,3200
US-CO,CO-1,26500
US-CO,CO-2,13100
US-CO,CO-3,8600
US-CO,CO-4,8600
US-CO,CO-5,10400
US-CO,CO-6,19100
US-CO,CO-7,9900
US-CT,CT-1,6900
US-CT,CT-2,5600
US-CT,CT-3,7100
US-CT,CT-4,6900
US-CT,CT-5,7300
US-DC,DC-AT LARGE,30300
US-DE,DE-AT LARGE,30500
US-FL,FL-1,27000
US-FL,FL-10,143100
US-FL,FL-11,25500
US-FL,FL-12,30800
US-FL,FL-13,30400
US-FL,FL-14,81800
US-FL,FL-15,30900
US-FL,FL-16,37200
US-FL,FL-17,49200
US-FL,FL-18,30100
US-FL,FL-19,37800
US-FL,FL-2,27300
US-FL,FL-20,21200
US-FL,FL-21,26700
US-FL,FL-22,37700
US-FL,FL-23,37300
US-FL,FL-24,68400
US-FL,FL-25,26900
US-FL,FL-26,41900
US-FL,FL-27,88500
US-FL,FL-3,27400
US-FL,FL-4,31600
US-FL,FL-5,12500
US-FL,FL-6,58500
US-FL,FL-7,42500
US-FL,FL-8,31100
US-FL,FL-9,45600
US-GA,GA-1,4300
